nct_id,start_year,disease_area,phase,status,intervention_type,lead_sponsor,enrollment,duration_months,ai_designed,multinational,has_biomarker
NCT2013000055,2022,Oncology,Phase 2,Completed,Behavioral,Biotech Startup,32,11,False,False,False
NCT2013000056,2021,Cardiovascular,Phase 4,"Active, not recruiting",Drug,Amgen,27,41,False,False,True
NCT2013000057,2022,Oncology,Phase 2,Recruiting,Biological,Boehringer Ingelheim,424,17,False,False,False
NCT2013000058,2017,Oncology,Phase 1,Completed,Drug,NIH,32,38,False,False,False
NCT2013000059,2014,Neurology,Phase 2,Completed,Drug,Boehringer Ingelheim,66,12,False,False,False
NCT2013000060,2016,Respiratory,Phase 3,Completed,Drug,Academic Medical Center,1789,11,False,False,False
NCT2013000061,2024,Oncology,Phase 1,Completed,Behavioral,Merck,14,11,False,True,False
NCT2013000062,2024,Immunology/Autoimmune,Phase 1,Completed,Behavioral,GSK,61,18,False,True,True
NCT2013000063,2019,Diabetes/Metabolic,Phase 3,Terminated,Drug,Amgen,40,18,False,False,False
NCT2013000064,2024,Oncology,N/A,Unknown,Drug,Merck,55,12,False,False,False
NCT2013000065,2020,Oncology,Phase 1,Unknown,Drug,Bayer,24,19,False,True,False
NCT2013000066,2015,Infectious Disease,Phase 1,Unknown,Drug,Sanofi,38,20,False,False,False
NCT2013000067,2013,Infectious Disease,Phase 1,Recruiting,Other,Amgen,17,26,False,True,True
NCT2013000068,2016,Infectious Disease,Phase 1,Recruiting,Drug,Regional Hospital,48,16,False,True,False
NCT2013000069,2014,Neurology,Phase 2,Completed,Other,Academic Medical Center,84,13,False,False,True
NCT2013000070,2020,Neurology,Phase 3,Terminated,Drug,Novartis,228,20,False,True,True
NCT2013000071,2016,Neurology,Phase 1,Completed,Behavioral,Regional Hospital,66,13,False,True,False
NCT2013000072,2014,Rare Disease,N/A,Recruiting,Drug,Roche,139,13,False,False,True
NCT2013000073,2018,Respiratory,Phase 3,Recruiting,Biological,NIH,93,22,False,False,False
NCT2013000074,2018,Cardiovascular,Phase 1,Terminated,Procedure,Merck,59,27,False,True,True
NCT2013000075,2022,Oncology,Phase 1,Recruiting,Biological,Novartis,39,29,False,False,False
NCT2013000076,2016,Diabetes/Metabolic,N/A,"Active, not recruiting",Drug,Regional Hospital,193,19,False,True,True
NCT2013000077,2018,Rare Disease,Phase 2,Completed,Device,AstraZeneca,315,22,False,False,False
NCT2013000078,2014,Immunology/Autoimmune,Phase 3,Recruiting,Drug,GSK,316,7,False,True,True
NCT2013000079,2022,Cardiovascular,Phase 3,Recruiting,Device,Gilead,256,16,False,False,False
NCT2013000080,2024,Oncology,Phase 2,"Active, not recruiting",Drug,Gilead,92,21,True,True,False
NCT2013000081,2014,Infectious Disease,Phase 1,"Active, not recruiting",Drug,Bristol-Myers Squibb,24,29,False,True,True
NCT2013000082,2022,Diabetes/Metabolic,Phase 3,Completed,Procedure,Gilead,719,28,False,True,False
NCT2013000083,2016,Cardiovascular,Phase 2,Withdrawn,Drug,Sanofi,99,34,True,False,False
NCT2013000084,2020,Rare Disease,Phase 2,Terminated,Behavioral,Pfizer,66,29,False,False,True
NCT2013000085,2019,Oncology,Phase 3,"Active, not recruiting",Biological,Novartis,683,16,False,True,False
NCT2013000086,2024,Cardiovascular,Phase 2,"Active, not recruiting",Drug,Biotech Startup,29,29,False,False,False
NCT2013000087,2021,Oncology,Phase 4,Recruiting,Other,Regional Hospital,309,14,False,True,False
NCT2013000088,2020,Immunology/Autoimmune,Phase 2,Unknown,Biological,Bayer,108,27,False,True,False
NCT2013000089,2017,Neurology,Phase 3,"Active, not recruiting",Biological,Boehringer Ingelheim,819,22,False,True,False
NCT2013000090,2014,Diabetes/Metabolic,Phase 1,Withdrawn,Biological,AbbVie,28,6,False,False,True
NCT2013000091,2017,Oncology,Phase 1,Completed,Drug,Biotech Startup,25,6,False,False,True
NCT2013000092,2020,Neurology,Phase 2,Completed,Drug,Johnson & Johnson,48,14,True,True,True
NCT2013000093,2022,Cardiovascular,Phase 3,Unknown,Drug,Novartis,592,78,False,True,True
NCT2013000094,2021,Diabetes/Metabolic,Phase 2,Withdrawn,Drug,Merck,88,34,False,False,True
NCT2013000095,2024,Cardiovascular,Phase 4,Terminated,Other,Academic Medical Center,321,43,True,False,True
NCT2013000096,2024,Diabetes/Metabolic,Phase 1,Completed,Drug,GSK,36,14,False,True,True
NCT2013000097,2024,Diabetes/Metabolic,Phase 3,"Active, not recruiting",Drug,Boehringer Ingelheim,607,18,True,False,False
NCT2013000098,2021,Oncology,Phase 2,Unknown,Drug,Bayer,117,27,False,True,False
NCT2013000099,2013,Oncology,Phase 2,Completed,Biological,Bristol-Myers Squibb,586,15,False,False,False
NCT2013000100,2021,Oncology,Phase 3,Completed,Device,Sanofi,1758,13,False,False,False
NCT2013000101,2019,Infectious Disease,Phase 4,Completed,Biological,AbbVie,24,14,False,False,True
NCT2013000102,2021,Oncology,Phase 2,"Active, not recruiting",Biological,Bristol-Myers Squibb,45,16,True,False,True
NCT2013000103,2020,Oncology,Phase 3,Withdrawn,Drug,Gilead,109,37,False,False,True
NCT2013000104,2013,Oncology,Phase 2,Completed,Drug,AstraZeneca,83,24,False,False,False
NCT2013000105,2024,Rare Disease,Phase 2,"Active, not recruiting",Behavioral,Biotech Startup,84,22,False,False,True
NCT2013000106,2020,Oncology,Phase 2,Recruiting,Biological,University Hospital,130,7,False,False,True
NCT2013000107,2020,Mental Health,Phase 1,Recruiting,Drug,Boehringer Ingelheim,15,13,False,False,False
NCT2013000108,2023,Infectious Disease,Phase 2,"Active, not recruiting",Drug,Eli Lilly,110,31,True,False,False
NCT2013000109,2015,Immunology/Autoimmune,Phase 1,Completed,Device,Roche,38,48,False,True,False
NCT2013000110,2013,Other,N/A,Recruiting,Behavioral,Boehringer Ingelheim,131,11,False,True,True
NCT2013000111,2020,Neurology,Phase 3,Recruiting,Behavioral,Biotech Startup,489,5,False,False,False
NCT2013000112,2015,Rare Disease,Phase 2,Completed,Procedure,Sanofi,203,18,False,False,False
NCT2013000113,2015,Diabetes/Metabolic,Phase 1,"Active, not recruiting",Drug,Merck,107,17,False,False,True
NCT2013000114,2013,Oncology,Phase 1,"Active, not recruiting",Behavioral,AbbVie,24,30,False,False,False
NCT2013000115,2023,Infectious Disease,Phase 3,Completed,Drug,Novartis,643,25,False,False,True
NCT2013000116,2017,Mental Health,Phase 2,Completed,Other,Bayer,97,18,False,True,False
NCT2013000117,2022,Oncology,Phase 3,Recruiting,Drug,Johnson & Johnson,349,20,False,False,False
NCT2013000118,2019,Neurology,Phase 2,Completed,Biological,Biotech Startup,74,27,False,False,False
NCT2013000119,2022,Neurology,Phase 1,Recruiting,Biological,Novartis,33,33,False,True,False
NCT2013000120,2021,Neurology,Phase 3,Completed,Device,Merck,487,39,False,True,True
NCT2013000121,2024,Oncology,Phase 2,"Active, not recruiting",Drug,Academic Medical Center,58,20,True,True,False
NCT2013000122,2019,Oncology,Phase 2,Terminated,Drug,NIH,74,13,False,False,False
NCT2013000123,2021,Cardiovascular,Phase 2,"Active, not recruiting",Device,Pfizer,85,54,False,False,False
NCT2013000124,2020,Oncology,N/A,Terminated,Biological,Pfizer,51,34,False,False,False
NCT2013000125,2024,Cardiovascular,Phase 2,Completed,Drug,University Hospital,32,18,False,False,False
NCT2013000126,2014,Rare Disease,Phase 1,Completed,Biological,Amgen,26,57,False,True,False
NCT2013000127,2013,Cardiovascular,Phase 3,"Active, not recruiting",Drug,Biotech Startup,953,10,False,False,True
NCT2013000128,2019,Immunology/Autoimmune,Phase 1,Completed,Drug,Bristol-Myers Squibb,11,21,True,True,True
NCT2013000129,2019,Infectious Disease,Phase 2,Completed,Drug,Biotech Startup,155,6,False,False,True
NCT2013000130,2020,Other,Phase 3,Completed,Drug,University Hospital,444,43,False,True,True
NCT2013000131,2017,Neurology,Phase 1,Completed,Drug,Pfizer,59,13,False,False,False
NCT2013000132,2015,Neurology,Phase 3,Recruiting,Drug,Novartis,689,28,False,True,False
NCT2013000133,2024,Mental Health,Phase 3,Unknown,Device,Biotech Startup,231,19,False,False,True
NCT2013000134,2020,Oncology,Phase 2,"Active, not recruiting",Device,Boehringer Ingelheim,56,14,False,False,False
NCT2013000135,2018,Cardiovascular,Phase 2,Unknown,Drug,GSK,39,30,False,False,True
NCT2013000136,2023,Mental Health,Phase 1,Recruiting,Drug,Bayer,17,18,False,True,True
NCT2013000137,2015,Neurology,Phase 3,Completed,Drug,Sanofi,2321,7,False,True,False
NCT2013000138,2013,Oncology,N/A,Withdrawn,Drug,Biotech Startup,232,24,False,False,False
NCT2013000139,2015,Infectious Disease,Phase 2,Completed,Biological,Biotech Startup,66,8,False,False,False
NCT2013000140,2017,Other,N/A,Terminated,Drug,GSK,152,26,False,True,False
NCT2013000141,2015,Respiratory,Phase 3,Recruiting,Drug,Pfizer,485,11,False,False,True
NCT2013000142,2013,Immunology/Autoimmune,Phase 3,"Active, not recruiting",Drug,Sanofi,231,11,False,False,False
NCT2013000143,2017,Rare Disease,Phase 1,Withdrawn,Drug,University Hospital,21,9,False,False,False
NCT2013000144,2022,Cardiovascular,Phase 4,Terminated,Drug,Boehringer Ingelheim,164,26,False,False,True
NCT2013000145,2019,Oncology,Phase 1,Completed,Drug,Regional Hospital,13,20,False,False,False
NCT2013000146,2019,Respiratory,Phase 2,Completed,Drug,Biotech Startup,132,74,False,False,True
NCT2013000147,2023,Oncology,Phase 3,Recruiting,Drug,Bristol-Myers Squibb,302,3,False,True,True
NCT2013000148,2021,Cardiovascular,Phase 1,Terminated,Behavioral,Bristol-Myers Squibb,33,28,False,False,False
NCT2013000149,2022,Cardiovascular,Phase 1,Recruiting,Drug,Roche,35,33,False,True,True
NCT2013000150,2022,Cardiovascular,Phase 2,Completed,Drug,AbbVie,53,12,False,True,False
NCT2013000151,2024,Cardiovascular,Phase 3,Completed,Device,Academic Medical Center,329,35,True,False,False
NCT2013000152,2015,Diabetes/Metabolic,Phase 3,Completed,Biological,AbbVie,1296,8,False,False,False
NCT2013000153,2019,Diabetes/Metabolic,N/A,Terminated,Drug,Bayer,30,29,False,False,False
NCT2013000154,2013,Neurology,Phase 3,Unknown,Biological,AbbVie,958,33,False,True,False
NCT2013000155,2016,Other,Phase 1,Terminated,Device,AbbVie,15,10,False,False,False
NCT2013000156,2016,Diabetes/Metabolic,Phase 2,Recruiting,Drug,Academic Medical Center,123,15,True,False,False
NCT2013000157,2017,Immunology/Autoimmune,Phase 2,Recruiting,Other,Novartis,154,12,False,False,False
NCT2013000158,2019,Cardiovascular,Phase 1,Completed,Behavioral,AstraZeneca,38,40,False,True,False
NCT2013000159,2019,Infectious Disease,Phase 3,Recruiting,Behavioral,Biotech Startup,239,29,True,False,True
NCT2013000160,2023,Cardiovascular,Phase 2,"Active, not recruiting",Drug,AbbVie,44,11,False,True,False
NCT2013000161,2016,Cardiovascular,Phase 2,Completed,Drug,Biotech Startup,320,14,False,False,False
NCT2013000162,2019,Oncology,Phase 1,Completed,Drug,Sanofi,82,15,False,True,False
NCT2013000163,2023,Diabetes/Metabolic,Phase 1,Recruiting,Drug,Eli Lilly,82,14,False,True,False
NCT2013000164,2015,Mental Health,Phase 1,"Active, not recruiting",Drug,Novartis,58,10,False,True,True
NCT2013000165,2018,Oncology,Phase 2,Completed,Other,Merck,256,37,False,False,False
NCT2013000166,2024,Immunology/Autoimmune,Phase 2,Unknown,Drug,AstraZeneca,142,9,False,False,False
NCT2013000167,2014,Diabetes/Metabolic,Phase 1,Recruiting,Drug,Boehringer Ingelheim,89,28,False,False,False
NCT2013000168,2022,Diabetes/Metabolic,Phase 2,Withdrawn,Drug,Pfizer,68,24,False,True,False
NCT2013000169,2021,Neurology,Phase 4,"Active, not recruiting",Drug,Boehringer Ingelheim,29,16,False,False,True
NCT2013000170,2017,Oncology,Phase 3,Completed,Drug,Merck,537,26,False,True,False
NCT2013000171,2018,Oncology,Phase 3,Withdrawn,Behavioral,NIH,1468,33,False,False,False
NCT2013000172,2024,Diabetes/Metabolic,Phase 1,Recruiting,Drug,Eli Lilly,77,28,False,False,False
NCT2013000173,2024,Diabetes/Metabolic,Phase 1,Terminated,Drug,Amgen,53,17,False,False,False
NCT2013000174,2024,Oncology,Phase 2,Terminated,Drug,Sanofi,131,22,True,True,False
NCT2013000175,2024,Oncology,Phase 1,Terminated,Drug,Gilead,53,19,False,True,True
NCT2013000176,2016,Rare Disease,Phase 1,Terminated,Biological,Roche,45,11,False,True,True
NCT2013000177,2023,Cardiovascular,Phase 2,Terminated,Device,Bristol-Myers Squibb,20,26,False,False,True
NCT2013000178,2022,Rare Disease,Phase 2,Completed,Drug,Boehringer Ingelheim,147,20,False,True,False
NCT2013000179,2019,Respiratory,Phase 3,Recruiting,Biological,AstraZeneca,463,21,False,True,False
NCT2013000180,2024,Oncology,Phase 1,Completed,Drug,AstraZeneca,35,48,False,True,True
NCT2013000181,2021,Infectious Disease,Phase 1,Completed,Drug,Eli Lilly,35,9,False,True,False
NCT2013000182,2019,Neurology,Phase 2,Recruiting,Biological,AbbVie,20,40,False,False,True
NCT2013000183,2013,Oncology,Phase 4,"Active, not recruiting",Drug,Bristol-Myers Squibb,256,60,False,False,True
NCT2013000184,2013,Neurology,Phase 2,Recruiting,Drug,NIH,82,21,False,False,False
NCT2013000185,2021,Oncology,Phase 2,"Active, not recruiting",Biological,Academic Medical Center,41,30,False,False,False
NCT2013000186,2023,Oncology,Phase 2,Terminated,Procedure,GSK,76,41,True,False,False
NCT2013000187,2021,Infectious Disease,Phase 4,Withdrawn,Drug,Amgen,112,32,True,False,False
NCT2013000188,2016,Cardiovascular,Phase 2,Completed,Drug,Eli Lilly,42,14,False,False,False
NCT2013000189,2021,Oncology,Phase 3,Terminated,Device,Bayer,341,57,True,False,False
NCT2013000190,2015,Neurology,Phase 3,Completed,Biological,Amgen,735,27,False,True,True
NCT2013000191,2019,Respiratory,Phase 4,Recruiting,Biological,Biotech Startup,211,22,False,False,True
NCT2013000192,2018,Oncology,Phase 2,Completed,Drug,Johnson & Johnson,45,32,False,False,False
NCT2013000193,2020,Cardiovascular,Phase 1,Terminated,Biological,NIH,37,15,False,False,True
NCT2013000194,2023,Oncology,N/A,Completed,Biological,Johnson & Johnson,35,34,False,True,False
NCT2013000195,2021,Oncology,Phase 3,Completed,Biological,Eli Lilly,713,29,False,True,True
NCT2013000196,2017,Infectious Disease,Phase 1,Completed,Biological,Bristol-Myers Squibb,27,25,False,False,True
NCT2013000197,2013,Infectious Disease,Phase 4,Completed,Drug,Biotech Startup,92,27,False,False,False
NCT2013000198,2015,Oncology,Phase 4,Completed,Drug,NIH,134,15,False,True,False
NCT2013000199,2022,Oncology,Phase 1,Terminated,Biological,Boehringer Ingelheim,73,27,False,False,False
NCT2013000200,2024,Cardiovascular,Phase 2,Completed,Biological,Biotech Startup,310,15,False,True,False
NCT2013000201,2020,Diabetes/Metabolic,Phase 1,Recruiting,Drug,GSK,64,26,False,False,True
NCT2013000202,2023,Diabetes/Metabolic,N/A,"Active, not recruiting",Biological,Merck,148,10,True,False,False
NCT2013000203,2018,Diabetes/Metabolic,Phase 1,Terminated,Drug,Pfizer,26,49,False,False,False
NCT2013000204,2020,Cardiovascular,Phase 3,Completed,Biological,Merck,184,92,False,False,False
NCT2013000205,2021,Infectious Disease,Phase 2,Unknown,Procedure,Gilead,51,18,False,False,False
NCT2013000206,2016,Respiratory,Phase 1,Withdrawn,Drug,Biotech Startup,19,33,False,False,False
NCT2013000207,2013,Oncology,Phase 3,Withdrawn,Behavioral,Regional Hospital,348,15,False,True,True
NCT2013000208,2013,Neurology,Phase 1,Completed,Drug,AstraZeneca,22,14,False,False,False
NCT2013000209,2022,Respiratory,N/A,Completed,Drug,Johnson & Johnson,27,15,True,True,True
NCT2013000210,2016,Cardiovascular,Phase 3,Terminated,Drug,Novartis,297,23,False,True,False
NCT2013000211,2024,Neurology,Phase 3,Completed,Biological,Merck,487,11,False,True,False
NCT2013000212,2019,Diabetes/Metabolic,Phase 2,Recruiting,Biological,University Hospital,39,6,False,True,False
NCT2013000213,2014,Neurology,Phase 3,"Active, not recruiting",Drug,GSK,156,15,False,False,False
NCT2013000214,2015,Respiratory,Phase 2,Completed,Drug,Biotech Startup,62,7,False,False,False
NCT2013000215,2013,Infectious Disease,Phase 2,Completed,Biological,Roche,37,27,False,True,True
NCT2013000216,2017,Cardiovascular,Phase 1,Unknown,Other,Boehringer Ingelheim,43,16,False,False,False
NCT2013000217,2013,Immunology/Autoimmune,Phase 2,Terminated,Drug,Gilead,97,13,False,True,False
NCT2013000218,2020,Infectious Disease,Phase 1,Terminated,Drug,GSK,39,24,False,True,False
NCT2013000219,2013,Rare Disease,Phase 4,Recruiting,Drug,University Hospital,76,13,False,False,False
NCT2013000220,2023,Oncology,Phase 2,Completed,Drug,Bristol-Myers Squibb,204,16,False,False,False
NCT2013000221,2013,Oncology,Phase 2,Recruiting,Drug,Academic Medical Center,57,20,False,True,False
NCT2013000222,2014,Cardiovascular,Phase 1,Completed,Drug,NIH,38,12,False,False,True
NCT2013000223,2014,Infectious Disease,Phase 3,Unknown,Drug,Novartis,737,11,True,False,False
NCT2013000224,2024,Oncology,Phase 3,Withdrawn,Biological,Biotech Startup,229,10,False,False,False
NCT2013000225,2018,Oncology,Phase 2,Completed,Other,Pfizer,113,26,False,False,False
NCT2013000226,2019,Oncology,N/A,Recruiting,Drug,Bristol-Myers Squibb,49,10,False,False,True
NCT2013000227,2017,Mental Health,Phase 2,Recruiting,Drug,Johnson & Johnson,41,23,False,False,False
NCT2013000228,2013,Immunology/Autoimmune,Phase 3,Terminated,Drug,Pfizer,806,21,False,False,True
NCT2013000229,2013,Diabetes/Metabolic,Phase 2,Completed,Drug,AstraZeneca,74,27,False,False,False
NCT2013000230,2015,Cardiovascular,Phase 1,Recruiting,Drug,Boehringer Ingelheim,38,47,False,True,True
NCT2013000231,2014,Diabetes/Metabolic,Phase 2,"Active, not recruiting",Procedure,Academic Medical Center,74,28,False,False,False
NCT2013000232,2017,Oncology,Phase 2,Recruiting,Drug,Roche,124,25,False,True,True
NCT2013000233,2024,Oncology,Phase 2,Completed,Biological,Merck,121,56,False,False,False
NCT2013000234,2022,Cardiovascular,Phase 1,Completed,Drug,Gilead,31,25,False,True,False
NCT2013000235,2018,Immunology/Autoimmune,Phase 1,Terminated,Drug,Eli Lilly,10,33,False,False,True
NCT2013000236,2019,Neurology,Phase 1,Terminated,Drug,Eli Lilly,31,13,False,False,True
NCT2013000237,2016,Oncology,Phase 2,Unknown,Biological,Bayer,120,18,True,False,True
NCT2013000238,2019,Infectious Disease,Phase 1,"Active, not recruiting",Drug,Sanofi,36,20,False,False,False
NCT2013000239,2023,Infectious Disease,Phase 3,Recruiting,Behavioral,NIH,339,14,False,False,True
NCT2013000240,2020,Diabetes/Metabolic,Phase 1,"Active, not recruiting",Drug,Eli Lilly,17,8,False,True,False
NCT2013000241,2023,Rare Disease,Phase 1,Recruiting,Drug,Bayer,16,17,False,False,True
NCT2013000242,2013,Cardiovascular,Phase 4,Terminated,Biological,Gilead,584,41,False,False,False
NCT2013000243,2018,Immunology/Autoimmune,Phase 1,Recruiting,Drug,Biotech Startup,36,37,False,False,False
NCT2013000244,2020,Cardiovascular,Phase 2,Completed,Drug,Pfizer,144,8,False,False,True
NCT2013000245,2017,Respiratory,Phase 3,Unknown,Drug,University Hospital,1148,11,False,False,True
NCT2013000246,2016,Oncology,Phase 2,Unknown,Drug,Amgen,220,34,False,True,False
NCT2013000247,2014,Cardiovascular,Phase 2,Terminated,Procedure,Novartis,71,16,False,True,True
NCT2013000248,2018,Oncology,Phase 3,Completed,Behavioral,Biotech Startup,163,23,False,True,False
NCT2013000249,2018,Oncology,Phase 4,Recruiting,Drug,Pfizer,81,19,False,True,False
NCT2013000250,2023,Cardiovascular,Phase 2,Withdrawn,Biological,Merck,96,15,False,True,False
NCT2013000251,2013,Neurology,Phase 2,Terminated,Behavioral,Johnson & Johnson,57,20,False,False,False
NCT2013000252,2021,Rare Disease,Phase 1,Completed,Drug,University Hospital,10,14,True,False,False
NCT2013000253,2024,Oncology,Phase 2,Recruiting,Behavioral,University Hospital,144,6,True,True,True
NCT2013000254,2023,Oncology,Phase 2,Completed,Drug,Gilead,295,13,False,False,True
NCT2013000255,2018,Oncology,Phase 4,Recruiting,Drug,Gilead,108,27,False,False,False
NCT2013000256,2015,Cardiovascular,Phase 2,"Active, not recruiting",Drug,Novartis,126,14,False,True,False
NCT2013000257,2016,Infectious Disease,N/A,Terminated,Drug,GSK,271,35,False,False,False
NCT2013000258,2024,Oncology,Phase 2,Unknown,Biological,Academic Medical Center,200,22,False,False,True
NCT2013000259,2023,Oncology,Phase 3,Terminated,Drug,Roche,685,13,False,False,False
NCT2013000260,2016,Infectious Disease,Phase 2,"Active, not recruiting",Biological,Sanofi,169,46,False,False,True
NCT2013000261,2015,Respiratory,Phase 3,Completed,Drug,Roche,661,10,False,False,True
NCT2013000262,2022,Rare Disease,Phase 3,Completed,Drug,Pfizer,320,6,True,True,True
NCT2013000263,2015,Oncology,Phase 3,Completed,Biological,Biotech Startup,1280,6,False,False,False
NCT2013000264,2015,Oncology,Phase 2,"Active, not recruiting",Drug,Biotech Startup,52,20,False,True,False
NCT2013000265,2016,Rare Disease,Phase 2,Terminated,Biological,Gilead,340,22,False,True,True
NCT2013000266,2019,Infectious Disease,Phase 1,Recruiting,Drug,AbbVie,48,11,False,False,False
NCT2013000267,2016,Cardiovascular,Phase 2,"Active, not recruiting",Device,Roche,52,23,True,False,True
NCT2013000268,2021,Immunology/Autoimmune,Phase 1,Withdrawn,Biological,Bayer,33,17,True,False,True
NCT2013000269,2013,Oncology,Phase 2,Completed,Drug,AstraZeneca,34,14,False,False,False
NCT2013000270,2020,Cardiovascular,Phase 4,Recruiting,Biological,Gilead,84,33,False,True,False
NCT2013000271,2019,Diabetes/Metabolic,Phase 1,Terminated,Behavioral,GSK,93,28,False,False,True
NCT2013000272,2014,Infectious Disease,Phase 1,Terminated,Drug,Roche,25,8,False,True,False
